Field name,Field type,Help text,Required,Changes,Multi-item,Changes,Indicate versioning **,Mukurtu Core,Standard,In Create DH view,Tab,Tab Label (for Kim),In Node view,In Browse list view,Standard Install,In Features (specify which)
Media,Multimedia asset,"Choose a file to upload from your computer, or select a file in the library.",yes,no,yes,,yes,yes,,yes,MC,,preview,thumbnail,yes,
Title,Node module element,,yes,,no,,,yes,Dublin Core,yes,MC,,yes,yes,yes,
Keywords,Term reference,Insert keywords associated with this item. Keywords make it easier to browse and retrieve the content.,,,yes,,,yes,,yes,MC,,yes,yes,yes,
Category,Term reference,Choose one or more general cultural categories that best describes your material. This field can be used for content browsing.,yes,,yes,,,yes,,yes,MC,,yes,yes,yes,
Cultural Narrative,Long text and summary,Use this field to provide general cultural context and background information for the content.,,,no,,yes,yes,,yes,MC,,yes,no,yes,
Description,Long text and summary,"(DC Description field) This is the primary field for describing the item. Include physical characteristics (examples: Photograph (lantern slide); manuscript; typescript; newspaper clipping) and content information (for an image, what is depicted; for a text item, what is it about); also give additional date information or other relevant details.",yes,no,no,,yes,yes,Dublin Core,yes,MC,,yes,no,yes,
Community,Node reference,Select the communities that should be allowed to see this content.,,,yes,,,yes,,yes,MC,,yes,yes,yes,
Cultural Protocols,Node reference,Select the cultural protocols associated with this content.,yes,,yes,,,yes,,yes,MC,,yes,yes,yes,
Sharing Protocols,List (integer),Choosing a sharing protocol will define who can access this item.,yes,,no,,,yes,,yes,MC,,yes,no,yes,
Creator,Term reference,"(DC Creator field) Who made the content: who took the photo, made the basket, etc.",,,yes,,,,Dublin Core,yes,Standard,,yes,no,yes,
Contributor,Term reference,(DC Contributor field) Person or organization who contributed the content.,,,yes,,,,Dublin Core,yes,Standard,,yes,no,yes,
Date,Text,"(DC Date field) Date associated with the creation of the content – EX: date the document was written, date the photo was taken, etc Use yyyy-mm-dd format or insert incomplete date.",,,no,,,,Dublin Core,yes,Standard,,yes,no,yes,
Format,Term reference,"(DC Format field) The file format EX: jpeg, tiff, pdf. etc.",,,no,,,,Dublin Core,yes,Standard,,yes,no,yes,
Identifier,Text,"(DC Identifier field) An unambiguous reference to the resource within a given context. Your institution may already have its own system. Recommended best practice is to identify the resource by means of a string or number conforming to a formal identification system. Examples of formal identification systems include the Uniform Resource Identifier (URI) (including the Uniform Resource Locator (URL), the Digital Object Identifier (DOI) and the International Standard Book Number (ISBN).",,,no,,yes,,Dublin Core,yes,Standard,,yes,no,yes,
Language,Term reference,(DC Language field) Language(s) used in the piece of content.,,,yes,,,,Dublin Core,yes,Standard,,yes,no,yes,
Latitude,Geofield,Enter latitude and longitude values. Look up latitude and longitude values.,,,no,,,,,yes,Standard,,map,no,yes,
Longitude,,,,,,,,,,,,,,no,yes,
Location Description,Long text,,,,no,,yes,,,yes,Standard,,yes,no,yes,
Publisher,Term reference,(DC Publisher field) The entity responsible for making the resource available.,,,yes,,,,Dublin Core,yes,Standard,,yes,no,yes,
Rights,Long text,(DC Rights field) Who holds the rights to the content and who should be contacted for permission to reproduce the content.,,,no,,yes,,Dublin Core,yes,Standard,,yes,no,yes,
Source,Text,"(DC Source field) Reference to a resource from which the present content is derived, for example “McWhorter collection”",,,no,,,,Dublin Core,yes,Standard,,yes,no,yes,
Subject,Term reference,"(DC Subject field) The topic of the content of the resource. Typically, a Subject will be expressed as keywords or key phrases or classification codes that describe the topic of the resource. Library Of Congress Subject headings are one standard and recognized option you may want to use.",,,yes,,,,Dublin Core,yes,Standard,,yes,no,yes,
Relation,Node reference,(DC Relation field) A reference to a related resource.,,,yes,,,,Dublin Core,yes,Standard,,yes,no,yes,
Traditional Knowledge,Long text,Use this field to provide traditional knowledge about this piece of content. You can add traditional knowledge to your content as you see fit. This field is an open field to provide you with maximum flexibility to express your knowledge in the most appropriate form. Go to wiki page.,,,no,,yes,,,yes,TK,,yes,no,yes,
Traditional Licensing,List (text),Select the license you want to apply to your content. Find out more about TK Licenses on our wiki.,,,no,,,,,yes,Licensing,,yes,no,yes,
Standard and Creative Commons Licensing,List (text),Select the license you want to apply to your content. Find out more about Creative Commons Licenses.,,,no,,,,,yes,Licensing,,yes,no,yes,
,,,,,,,,,,,,,,,,
,,,,,,,** Future feature. Drupal has revision control by node.,,,,,,,,,